site	time	observer	date	type	sample	plant	replicate	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	treatment	notes
Lagg	N	JK	2022-07-21	floral	297	297		20:03	20:33	20:48	0:30	0:15	1	0	DRC1	4.7	ambient	
Lagg	N	JK	2022-07-21	floral	2100	2100		20:27	20:57	21:12	0:30	0:15	1	0	DRC4	6.9	ambient	
Lagg	N	JK	2022-07-21	floral	293	293		20:35	21:05	21:20	0:30	0:15	1	0	DRC1	5.4	ambient	
Lagg	N	JK	2022-07-21	floral	322	322		21:08	21:38	21:53	0:30	0:15	1	2	DRC1	4.3	ambient	
Lagg	N	JK	2022-07-21	floral	320	320		21:10	21:40	21:55	0:30	0:15	1	1	DRC4	6.2	ambient	
Lagg	N	JK	2022-07-21	floral	541	541		21:43	22:13	22:28	0:30	0:15	1	1	DRC4	6.8	water control	
Lagg	N	JK	2022-07-21	ambient	airJK			21:45	22:15	22:30	0:30	0:15			DRC1			
Lagg	N	JK	2022-07-21	floral	539	539		22:19	22:49	23:04	0:30	0:15	1	1	DRC1	7.6	nitrogen	
Ihyb	N	JK	2022-07-27	floral	721A	721	A	20:04	20:34	20:49	0:30	0:15	1	0	DRC1		water control	JP: added A
Ihyb	N	JK	2022-07-27	floral	314	314		20:06	20:36	20:51	0:30	0:15	1	2	DRC10		ambient	too rocky
Ihyb	N	JK	2022-07-27	floral	718A	718	A	20:23	20:56	21:11	0:33	0:15	1	0	DRC7		nitrogen	JP: added A
Ihyb	N	JK	2022-07-27	floral	715A	715	A	20:32	21:07	21:22	0:35	0:15	1	0	DRC1		nitrogen	JP: added A
Ihyb	N	JK	2022-07-27	floral	726A	726	A	20:39	21:09	21:24	0:30	0:15	1	0	DRC1		nitrogen	JP: added A
Ihyb	N	JK	2022-07-27	floral	712A	712	A	20:58	21:28	21:43	0:30	0:15	1	0	DRC7	3.5	water control	
Ihyb	N	JK	2022-07-27	floral	713A	713	A	20:59	21:29	21:43	0:30	0:14	1	0	DRC10		water control	
Ihyb	N	JK	2022-07-27	ambient	airJK			21:13	21:43	21:58	0:30	0:15			DRC1			
Ihyb	N	JK	2022-07-27	floral	713C	713	B	21:39	22:09	22:24	0:30	0:15	1	0	DRC10	5.7	water control	JP: changed B>C since AA already has 713B
Ihyb	N	JK	2022-07-27	floral	712B	712	B	21:47	22:17	22:32	0:30	0:15	1	0	DRC7	3.5	water control	
Ihyb	N	JP	2022-07-27	floral	732A	732	A	20:03	20:38	20:56	0:35	0:18	1	0	DRC8		water control	too rocky
Ihyb	N	JP	2022-07-27	floral	530A	530	A	20:04	20:40	20:56	0:36	0:16	1	2	DRC9		ambient	too rocky
Ihyb	N	JP	2022-07-27	floral	797A	797	A	20:09	20:46	21:06	0:37	0:20	1	2	DRC5		nitrogen	too rocky
Ihyb	N	JP	2022-07-27	floral	798A	798	A	20:32	21:04	21:20	0:32	0:16	1	0	DRC3	4.4	ambient	
Ihyb	N	JP	2022-07-27	floral	719A	719	A	20:33	21:09	21:24	0:36	0:15	1	0	DRC9	4.3	nitrogen	
Ihyb	N	JP	2022-07-27	floral	706A	706	A	20:34	21:12	21:27	0:38	0:15	1	0	DRC5	5.5	nitrogen	
Ihyb	N	JP	2022-07-27	floral	701A	701	A	20:53	21:26	21:42	0:33	0:16	1	0	DRC8	3.5	nitrogen	
Ihyb	N	JP	2022-07-27	floral	701B	701	B	20:55	21:27	21:42	0:32	0:15	1	0	DRC3	3.5	nitrogen	
Ihyb	N	JP	2022-07-27	floral	732B	732	B	20:58	21:35	21:51	0:37	0:16	1	1	DRC9		water control	too rocky
Ihyb	N	JP	2022-07-27	floral	530B	530	B	21:00	21:37	21:52	0:37	0:15	1	1	DRC5		ambient	too rocky
Ihyb	N	JP	2022-07-27	floral	797B	797	B	21:17	21:48	22:03	0:31	0:15	1	0	DRC8		nitrogen	too rocky
Ihyb	N	JP	2022-07-27	floral	798B	798	B	21:19	21:49	22:04	0:30	0:15	1	0	DRC3	4.4	ambient	
Ihyb	N	JP	2022-07-27	floral	706B	706	B	22:07	22:38	22:53	0:31	0:15	1	0	DRC5	5.5	nitrogen	
Ihyb	N	JP	2022-07-27	floral	719B	719	B	22:09	22:39	22:54	0:30	0:15	1	0	DRC9	4.3	nitrogen	
Ihyb	D	JP	2022-07-28	floral	797	797		10:08	10:53	11:12	0:45	0:19	1	1	CWu2	4.7	nitrogen	rain
Ihyb	D	JP	2022-07-28	floral	719	719		10:17	10:55	11:14	0:38	0:19	1	0	JMP3	5.3	nitrogen	rain
Ihyb	D	JP	2022-07-28	floral	706	706		10:19	10:58	11:14	0:39	0:16	1	0	JMP2	4.3	nitrogen	rain
Ihyb	D	JP	2022-07-28	floral	798	798		10:21	10:59	11:14	0:38	0:15	1	0	JMP1	4.7	ambient	rain
Ihyb	N	AA	2022-07-27	floral	503A	503	A	20:05	20:35	20:50	0:30	0:15	1	0	JMP1	4	ambient	
Ihyb	N	AA	2022-07-27	floral	506A	506	A	20:07	20:38	20:53	0:31	0:15	1	0	JMP2		ambient	too rocky
Ihyb	N	AA	2022-07-27	floral	799A	799	A	20:09	20:40	20:56	0:31	0:16	1	1	JMP3	2.5	nitrogen	
Ihyb	N	AA	2022-07-27	floral	525A	525	A	20:23	20:54	21:09	0:31	0:15	1	0	JMP1	3.8	ambient	
Ihyb	N	AA	2022-07-27	floral	502A	502	A	20:25	20:57	21:12	0:32	0:15	1	0	JMP2	2.4	ambient	
Ihyb	N	AA	2022-07-27	floral	703A	703	A	20:28	21:00	21:15	0:32	0:15	1	0	JMP3	2.4	water control	
Ihyb	N	AA	2022-07-27	floral	709A	709	A	20:45	21:15	21:30	0:30	0:15	1	0	JMP1	5.5	water control	
Ihyb	N	AA	2022-07-27	ambient	airAA			20:50	21:20	21:35	0:30	0:15			JMP2			
Ihyb	N	AA	2022-07-27	floral	799B	799	B	20:53	21:23	21:38	0:30	0:15	1	0	JMP3	2.5	nitrogen	
Ihyb	N	AA	2022-07-27	floral	718B	718	B	21:26	21:57	22:12	0:31	0:15	1	0	JMP1	5.2	nitrogen	
Ihyb	N	AA	2022-07-27	floral	721B	721	B	21:27	21:59	22:14	0:32	0:15	1	0	JMP2	2.3	water control	
Ihyb	N	AA	2022-07-27	floral	726B	726	B	21:33	22:03	22:18	0:30	0:15	1	0	JMP3	10.3	nitrogen	
Ihyb	N	AA	2022-07-27	floral	703B	703	B	21:43	22:24	22:39	0:41	0:15	1	0	JMP2	2.4	water control	
Ihyb	N	AA	2022-07-27	floral	709B	709	B	21:46	22:27	22:42	0:41	0:15	1	0	JMP3	5.5	water control	
