filename	site	time	date	type	sample	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	notes	index
I4NAug1_08272017	Ihyb	N	2017-08-01	floral	4		20:48	21:18	21:33	0:30	0:15	1	0	DRC5		50
I13NAug1_08312017	Ihyb	N	2017-08-01	floral	13	3	20:51	21:21	21:36	0:30	0:15	1	0	DRC1		8
I27NAug1_08302017	Ihyb	N	2017-08-01	floral	27	7	20:56	21:21	21:38	0:25	0:17	1	0	DRC6		35
I14NAug1_08312017	Ihyb	N	2017-08-01	floral	14	4	21:01	21:31	21:46	0:30	0:15	1	0	DRC2		10
I8NAug1_08312017	Ihyb	N	2017-08-01	floral	8		21:08	21:38	21:53	0:30	0:15	1	0	DRC4	JP changed end time from 21:33	55
I26NAug1_08302017	Ihyb	N	2017-08-01	floral	26	6	21:11	21:41	21:56	0:30	0:15	1	0	DRC6		33
I15NAug1_08262017	Ihyb	N	2017-08-01	floral	15	5	21:13	21:43	21:58	0:30	0:15	1	1	DRC1		12
I25NAug1_08302017	Ihyb	N	2017-08-01	floral	25	5	21:25	21:55	22:10	0:30	0:15	1	0	DRC3		31
I17NAug1_08272017	Ihyb	N	2017-08-01	floral	17	7	21:33	22:03	22:18	0:30	0:15	1	0	DRC1		17
I24NAug1_08302017	Ihyb	N	2017-08-01	floral	24	4	21:35	22:13	22:28	0:38	0:15	1	0	DRC6	pump started late	29
I23NAug1_08302017	Ihyb	N	2017-08-01	floral	23	3	21:45	22:15	22:30	0:30	0:15	1	0	DRC3		27
I9NAug1_08272017	Ihyb	N	2017-08-01	floral	9		21:47	22:17	22:33	0:30	0:16	1	0	DRC5		57
I20NAug1_08312017	Ihyb	N	2017-08-01	floral	20	0	21:58	22:28	22:43	0:30	0:15	1	0	DRC4		23
I16NAug1_08302017	Ihyb	N	2017-08-01	floral	16	6	22:00	22:30	22:45	0:30	0:15	1	0	DRC6		15
I19NAug1_08302017	Ihyb	N	2017-08-01	floral	19	9	22:07	22:37	22:52	0:30	0:15	1	0	NA		20
L46NAug10_09022017	Lagg	N	2017-08-10	floral	46	6	20:02	20:33	20:48	0:31	0:15	1	0	DRC2		114
L24NAug10_09022017	Lagg	N	2017-08-10	floral	24	4	20:08	20:38	20:53	0:30	0:15	1	0	DRC6		83
I30NAug108312017	Ihyb	N	2017-08-10	floral	30	0	20:09	20:39	20:54	0:30	0:15	1	0	DRC1		43
L25NAug10_09012017	Lagg	N	2017-08-10	floral	25	5	20:18	20:48	21:03	0:30	0:15	1	0	DRC3		85
I10NAug108262017	Ihyb	N	2017-08-10	floral	10	0	20:19	20:49	21:04	0:30	0:15	1	0	DRC2		2
L47NAug10_09022017	Lagg	N	2017-08-10	floral	47	7	20:22	20:52	21:07	0:30	0:15	1	0	DRC2		116
L23NAug10_09012017	Lagg	N	2017-08-10	floral	23	3	20:30	21:00	21:15	0:30	0:15	1	0	DRC6		81
L48NAug10_09012017	Lagg	N	2017-08-10	floral	48	8	20:36	21:06	21:21	0:30	0:15	1	0	DRC1		118
